title,text,subject,date,isfake
Jones certified U.S. Senate winner despite Moore challenge,alabama offici thursday certifi democrat doug jone winner state us senat race state judg deni challeng republican roy moor whose campaign derail accus sexual misconduct teenag girl jone vacant seat vote percentag point elect offici said that made first democrat quarter centuri win senat seat alabama the seat previous held republican jeff session tap us presid donald trump attorney gener a state canvass board compos alabama secretari state john merril governor kay ivey attorney gener steve marshal certifi elect result seat jone narrow republican major senat seat in statement jone call victori a new chapter pledg work parti moor declin conced defeat even trump urg so he stood claim fraudul elect statement releas certif said regret media outlet report an alabama judg deni moor request block certif result dec elect decis shortli canvass board met moor challeng alleg potenti voter fraud deni chanc victori hi file wednesday montgomeri circuit court sought halt meet schedul ratifi jone win thursday moor could ask recount addit possibl court challeng merril said interview fox news channel he would complet paperwork within time period show money challeng merril said weve notifi yet intent that merril said regard claim voter fraud merril told cnn case report weve adjud those we continu that said republican lawmak washington distanc moor call drop race sever women accus sexual assault misconduct date back teenag earli s moor deni wrongdo reuter abl independ verifi alleg,politicsNews,28-Dec-17,0
New York governor questions the constitutionality of federal tax overhaul,the new us tax code target hightax state may unconstitut new york governor andrew cuomo said thursday say bill may violat new york resid right due process equal protect the sweep republican tax bill sign law us presid donald trump friday introduc cap deduct state local incom properti tax known salt the tax overhaul parti first major legisl victori sinc trump took offic januari the salt provis hit mani taxpay state high incom high properti valu high tax like new york new jersey california those state gener democrat lean im even sure legal constitut that someth were look now cuomo said interview cnn in interview cnbc cuomo suggest bill may unconstitut polit trump law cuomo said cnbc you constitut law due process equal protect you cant use polit major control overrid law the fifth amend constitut better known protect selfincrimin also protect individu seizur life liberti properti without due process interpret suprem court guarante equal protect law cuomo california governor jerri brown democrat previous said explor legal challeng salt deduct limit law professor said legal challeng would like rest argu provis interfer protect state right us constitut th amend tax attorney said cuomo legal argument tax bill could discrimin place unjust tax burden state heavili vote democrat past known blue state the de facto effect legisl discrimin blue state particularli cuomo perspect state new york said joseph callahan attorney law firm mackay caswel callahan new york but tax expert note us suprem court interpret th amend give congress broad latitud tax see fit in frequent cite decis suprem court call tax deduct legisl grace rather vest right i dont understand think valid lawsuit here david gamag professor tax law indiana univers maurer school law told reuter last week speak gener governor blue state could challeng tax bill cuomo also said thursday new york propos restructur tax code he provid detail a group law professor dec publish paper suggest way hightax state could minim effect salt deduct cap their suggest includ shift tax burden onto busi form higher employersid payrol tax sinc feder tax bill cap salt deduct appli individu busi state also could rais tax passthrough entiti feder tax bill specif benefit lower rate portion incom on friday cuomo said would allow state resid make partial full prepay properti tax bill jan allow taxpapy deduct payment cap kick in prompt wave resid pay earli howev us intern revenu servic wednesday advis homeown prepay properti tax may deduct,politicsNews,28-Dec-17,0
"Factbox: Trump on Twitter (Dec 28) - Vanity Fair, Hillary Clinton",the follow statementswer post verifi twitter account us presid donald trump express ownreut edit statement confirm accuraci like last leg bend backward apolog minor hit took crook h anna wintour set amb court st jamess big fundrais ch besid grief beg forgiv est sourc link,politicsNews,28-Dec-17,0
"Trump on Twitter (Dec 27) - Trump, Iraq, Syria",the follow statementswer post verifi twitter account us presid donald trump express ownreut edit statement confirm accuraci inaugur estim isi fighter held approx squar mile territori iraq syria as us militari estim remain fighter occupi roughli squar mile via st left west palm beach fire rescu met great men women repres much us firefight paramed first respond amaz peopl are est on day trump inaugur estim isi fighter held approx squar mile territori iraq syria as us militari est remain fighter occupi roughli squar mile st ms member associ up under trump est sourc link,politicsNews,28-Dec-17,0
Man says he delivered manure to Mnuchin to protest new U.S. tax law,a man claim person deliv giftwrap packag hors manur lo angel home us treasuri secretari steven mnuchin said monday protest feder tax overhaul sign law last week presid donald trump robert strong psychologist lo angel counti mental health depart said telephon left poopfil parcel address mnuchin trump driveway outsid mnuchin home posh bel air commun knbctv nbc televis affili lo angel report mnuchin home time the packag found mnuchin neighbor protest realli funni strong told reuter peopl eye glaze see angri peopl street he believ new tax law hurt poor peopl neither us secret servic lo angel polic depart investig incid would confirm strong respons the secret servic interview individu admit deliv packag charg file monday afternoon lapd lieuten rob weis said possibl whoever left packag break crimin law while assign investig incid weis said box present danger would illeg the lapd bomb squad xray box open saturday in photo card strong post twitter wrote mister mnuchin trump were return gift christma tax bill sign warmest wish the american peopl strong said secret servic agent accompani six polic offic show hous question sunday night agent chide him ask are asham behavior the white hous declin comment monday offici treasuri depart could reach,politicsNews,25-Dec-17,0
"After London setback, May wins Brexit cheer in Brussels",british prime minist theresa may made clear desir thursday move brexit talk forward discuss futur trade relationship dinner eu leader applaud progress made far a day suffer defeat parliament blueprint quit eu may told peer summit brussel cours deliv brexit urg speed talk unravel year union offer reassur endors friday launch second phase negoti free trade pact initi transit period leader respond may remark brief round applaus leav summit allow discuss brexit without her a british govern offici said prime minist made secret want move next phase approach ambit creativ i believ best interest uk european union told leader dinner roast langoustin capon chicken a particular prioriti agreement implement period bring greater certainti busi uk across ad offici said german chancellor angela merkel congratul may bring negoti last week stage suffici progress enabl leader accept open next phase talk summit chair donald tusk call may friday updat leader discuss next move brexit may weaken lose conserv parti major june elect far carri divid govern parti negoti first phase talk much britain pay leav eu border ireland statu eu citizen britain but second decis phase negoti test author expos deep rift among top team minist cabinet britain becom brexit acknowledg tough talk ahead tusk warn uniti display far would deliv good deal trade issu member state differ interest i doubt real test uniti second phase brexit talk told report may team upbeat look achiev far the deal phase one mani comment said done done british govern offici said look languag european leader today all signal look forward continu negoti prime minist the eu will start talk next month roughli twoyear transit period eas britain march want detail london want open trade negoti march the deal almost fell apart last week may northern irish alli reject initi agreement fear promis protect free border eu member ireland could separ region rest uk after day often fraught diplomaci may rescu deal meet eu requir suffici progress lastminut wobbl democrat unionist parti depend parliament get law pass defeat parliament wednesday underlin struggl face i disappoint amend told report arriv summit but eu withdraw bill make good progress hous common cours deliv brexit may success far respit home polit infight enthusiast sceptic brexit rule parti reduc prospect disorderli departur bloc at summit keen show britain activ member bloc commit stay erasmu univers programm end take part discuss bloc plan closer defenc cooper over dinner leader also discuss respons migrat crisi africa middl east linger deep divis share load they confirm rollov sanction russia ukrain crisi reaffirm opposit us presid donald trump move recognis jerusalem capit israel,worldnews,14-Dec-17,0
What a difference a year makes - EU warms to Britain's May,what differ year make a year ago prime minist theresa may pictur stand alon eu summit nervous play sleev leader embrac chat around imag sum isol britain vote brexit on thursday leader state pois agre move brexit talk forward decis phase discuss futur tie yearold greet show support includ applaus round congratul summit dinner she need it second phase talk like even difficult first could widen divis govern parti countri britain becom brexit may also face embolden parliament home rebel conserv parti join forc opposit lawmak vote govern brexit blueprint someth may tri repeat next week may plan write britain departur date law but chang atmospher brussel improv chanc friendlier divorc reduc possibl britain crash without deal it may chang born necess a weaken may could forc offic eu want see new possibl hardlin negoti across tabl half way talk she best got she got said senior eu offici compar posit brexit minist david davi whose comment initi deal statement intent rather legal pact annoy mani bloc for mani conserv too may seen lead contend secur britain exit march i think prime minist certainli far away best place that said british lawmak brexit support david jone move posit brexit minist earlier year she done well connect first stage agreement odd what actual achiev accept part european union leav leav without caus problem intern accidentpron may appoint prime minist shortli britain vote month ago leav eu commit honor decis unravel four decad eu membership but path smooth after lose parti major june elect may almost unnatur accidentpron an attempt reassert author collaps cough fit speech conserv parti confer octob last week choreograph attempt seal deal move second phase talk eu fell apart northern irish alli refus sign it that european commiss presid jeanclaud juncker hail may tough negoti one defend point view britain energi know an embarrass defeat parliament wednesday underlin weak reli support small northern irish parti pass legisl but two fail attempt within parti oust her may prove mani detractor wrong push brexit sap govern abil pursu polici defin time power the govern defeat amend make exit complic incent eu negoti good deal said conserv lawmak john baron howev process hardli ever go smooth remain cours honor referendum result so now carri divid parti her but agreement move phase two conserv describ compromis shown fray edg coalit the key keep cabinet minist board it fudg get next stage leav cabinet member reassur get brexit want said senior conserv sourc that may mean keep possibl open britain move away eu regul leav could worri eu offici the british peopl control environ minist michael gove said last week if british peopl dislik arrang negoti eu agreement allow futur govern diverg,worldnews,14-Dec-17,0
"Two dead, several wounded in stabbing in southern Dutch city Maastricht: police",at least two peopl kill sever other wound stab southern dutch citi maastricht thursday even polic said the polic said statement two stab incid hundr meter yard residenti neighborhood northern maastricht border germani belgium,worldnews,14-Dec-17,0
"U.N. calls Syria talks a 'big missed opportunity', seeks new ideas",a round syria peac talk end thursday big miss opportun may talk next month idea found encourag presid bashar alassad govern engag un mediat staffan de mistura said he said neither side actual sabotag latest talk refus attend laid blame failur round feet govern side de mistura voic milder disappoint syrian opposit arriv geneva rule futur role assad but said tough public stanc temper matur posit closeddoor discuss the goal bring real negoti de mistura told news confer let frank we achiev achiev negoti in word negoti realiti take place i would conclud say it wa big miss opportun a golden opportun end year fact clear indic mani side militari oper come close ad de mistura said leav geneva consult new york un secretari gener antonio guterr follow meet un secur council tuesday i probabl need come new idea paramet move talk forward particularli constitut elect said ad plan new round geneva talk januari depend outcom civil war ravag syria six year chief opposit negoti nasr hariri said intern commun need persuad govern negoti bashar alja afari come tabl warn talk great danger the intern commun need find new approach otherwis stalem continu unfortun expens syrian said one european diplomat said talk charad govern behavior although regim present here done i would go further kind disengag shown extraordinari contempt said i understand larg amount time spent negoti person admin matter expens rather substanc talk as left talk ja afari accus opposit back western countri saudi arabia sabotag round ja afari said damascu want talk fail opposit put precondit last month conclud confer known riyadh declar assad role syria polit transit de mistura said damascu govern want insist opposit withdraw statement that possibl logic approach sound like precondit the govern engag discuss about terror the truth one singl subject accept except one,worldnews,14-Dec-17,0
Britain First leader whom Trump re-tweeted arrested again in Belfast,a leader british farright group whose antiislam post retweet us presid donald trump caus outrag britain arrest northern ireland thursday minut bail separ incid jayda fransen deputi leader fring antiimmigr britain first group appear court belfast face charg use threaten abus insult word speech ralli citi august she remand continu bail januari condit go within meter ralli demonstr case finish as left court fransen arrest charg break law separ incid wednesday near one peac wall separ cathol protest neighborhood polic said polic declin give detail incid britain first leader paul gold also arrest accompani fransen courthous later charg connect august incid trump share fransen antimuslim video post twitter provok outrag britain last month draw sharp rebuk prime minist theresa may strain relat two close alli an attempt polic restrict fransen use social media twitter facebook reject judg thursday fransen fine last month found guilti court england religi aggrav harass shout abus muslim woman wear hijab her lawyer told belfast magistr court thursday would plead guilti charg face relat august ralli gold former senior figur farright british nation parti found britain first the group describ patriot polit parti street movement critic denounc racist organ,worldnews,14-Dec-17,0
"Opposition official, others charged with plotting against Rwandan government",a rwandan opposit offici eight other charg wednesday form arm group seek overthrow govern indict could see jail life bonifac twagirimana vice presid fdu inkingi movement deni charg kigali court the parti leader victoir ingabir alreadi jail convict conspir form arm group charg the prosecutor said defend join p describ umbrella group five organ includ fdu inkingi oper outsid countri the central african nation wide prais speed econom growth overal recoveri genocid kill peopl but right group accus fuel conflict back arm group neighbor democrat republ congo presid paul kagam also face mount critic activist say widespread abus muzzl independ media suppress polit opposit accus dismiss onli one defend plead guilti charg papia ndayishimiy said plan join group offer help he join other deni plot govern they could jail year convict form arm group life found guilti plan overthrow govern earli month polic arrest dian shima rwigara lead critic kagam charg forgeri tax evas,worldnews,20-Sep-17,0
"EU's Tusk, UK's May to talk Brexit next Tuesday",european council presid donald tusk said would meet british prime minist theresa may london next tuesday discuss brexit day due make keynot speech vision futur tie eu he made comment tweet meet may unit nation gener assembl the london meet pair come sensit time speech florenc friday eu head state dinner sept tallinn estonia the financi time said may top eu advis told counterpart sever european would florenc offer fill postbrexit eu budget hole least billion euro the newspap cite offici brief discuss senior eu offici given talk offer short shrift they dismiss suggest float british media offer billion euro payabl transit period brexit would accept brussel it could be said altern billion eu execut estim may payabl brexit march brussel negoti acknowledg privat may help british govern sell settlement domest voter london meld exit payment transit payment reduc headlin divorc bill eu offici told reuter would discuss brexit tallinn dinner may might take opportun brief bloc leader posit talk brexit made littl progress deepen rift may parti set florenc speech chanc put negoti back track reassert author while tusk coordin eu leader brexit michel barnier negoti british made clear london point contact brexit talk barnier negoti direct frustrat british counterpart want move talk divorc issu eu departur bill irish border futur relat barnier first want see progress term britain exit,worldnews,19-Sep-17,0
"Trump says he has made decision on Iran deal, declines to say what it is",us presid donald trump said wednesday made decis whether pull unit state nuclear deal iran world power declin say wa trump ask report said i decid if trump certifi octob iran compli agreement us congress day decid whether reimpos sanction waiv pact,worldnews,20-Sep-17,0
Italy's center-right in search of a leader as election nears,former prime minist silvio berlusconi return frontlin italian polit weekend stake claim lead resurg centerright nation elect expect earli next year at exactli moment berlusconi outspoken alli matteo salvini address northern leagu parti lay marker becom next prime minist salvini premier read sign stuck lectern in realiti neither man look like head next govern pull elect victori possibl altern candid alreadi emerg there appar power struggl go berlusconi salvini get hand they know violent clash would suicid voter said piero ignazi polit professor bologna univers the truth men remain head respect parti next prime minist said thi would open way consensu candid would bridg huge diverg three main rightist parti fierc antieu agenda put forward northern leagu brother itali proeuropean vision embrac berlusconi sunday latest opinion poll show trio longstand alli pull ahead poll predict win combin percent vote antimigr northern leagu ahead berlusconi forza italia percent by contrast antiestablish star movement rule centerleft democrat parti pd seen around percent apiec the star rule coalit allianc centerleft pool vote shrink variou leftist parti engag feroci infight under current elector system parti bloc look like win enough seat govern alon howev polit analyst say wind fill centerright sail year advers condit give preelect momentum berlusconi ignomini resign power sovereign debt crisi mire sex scandal legal woe subsequ expel senat ban run offic due tax fraud convict open heart surgeri last year left analyst write polit obituari but first time media tycoon bounc back appeal european court human right overturn ban seek elect a hear schedul novemb verdict unlik come sever month mean almost certainli abl stand next nation ballot due may wide expect held march despit age berlusconi would love prime minist again it would last hurrah but realist speak happen said forza italia offici declin name sensit issu significantli berlusconi made polit comeback speech event organ forza italia stalwart antonio tajani presid european parliament parti sourc said tajani pole posit berlusconi surrog while berlusconi name abroad evok memori bunga bunga sex parti wisecrack tajani much less color charact whose proeuropean instinct would make reassur figur intern market those instinct would pose problem berlusconi hardlin alli regularli denounc european union call itali quit euro the leader centerright need chosen clear process perhap primari giorgia meloni head brother itali told sky italia televis sunday i imagin whatev grassroot method decid tajani win out said brother itali small nationalist parti antimigr antieuro it tri differenti leagu say focus whole countri wealthi north buoy leagu strong poll number salvini say leader parti win vote next year automat prime ministeri candid but berlusconi fourtim premier rule hand baton power salvini embrac europ farright endors franc nation front we creat centerright itali alway leader lay fulfil program berlusconi said sunday the two men spoken month say hurri discuss strategi polit analyst specul probusi forza italia might find easier creat govern nation uniti former prime minist matteo renzi pd parti rather populist northern leagu forza italia loyalist reject notion we rule northern leagu year nation govern rule region go well said forza italia lawmak deborah bergamini one region coalit liguria head forza italia giovanni toti he attend forza italia northern leagu ralli weekend due take part brother itali meet weekend toti care build bridg three parti would natur choic head nation coalit bologna univers ignazi said,worldnews,20-Sep-17,0
U.S. must suffer 'painful responses' from Iran after Trump speech: Guards chief,the head iran revolutionari guard said wednesday unit state experi pain respons follow presid donald trump harsh critic tehran unit nation in first speech un gener assembl tuesday trump call iran corrupt dictatorship accus support terror destabil middl east he also hint might recertifi nuclear deal tehran come midoct deadlin take definit stand trump begin path said gener mohammad ali jafari accord sepah news news site revolutionari guard what strateg import america wit pain respons action behavior decis iran take come month in recent month tension ramp iran unit state gulf side accus provoc maneuv militari vessel jafari urg iranian presid hassan rouhani deliv definit respons trump speech unit nation wednesday with success exhaust defeat american face region iran natur nervou system coher thought fallen apart sepah news quot jafari say in tuesday speech trump call nuclear deal negoti iran six world power back predecessor barack obama embarrass under deal iran agre curb atom program return eas econom sanction,worldnews,20-Sep-17,0
